Asset ID,Lab,Asset Category,Asset Status,Purchase Year,Purchase Cost,Usage Frequency,Breakdown Frequency,Total Maintenance Cost,Useful Life (Years),Scrap Value
LAB16-PC23,LAB 16,Monitor (Brand-HP),Y,2021,27599,Medium,4,4036,7,2759
LAB13-PC20,LAB 13,Keyboard (Brand-HP),Y,2022,28320,High,4,5860,5,2832
LAB10-PC31,LAB 10,Monitor (Brand-HP),Y,2022,30313,Medium,1,2027,7,3031
LAB15-PC23,LAB 15,Monitor (Brand-HP),N,2018,29252,High,3,7746,7,2925
LAB14-PC22,LAB 14,Monitor (Brand-HP),Y,2023,29363,High,1,3773,7,2936
LAB10-PC32,LAB 10,Monitor (Brand-HP),Y,2022,30908,High,5,5900,7,3090
LAB15-PC24,LAB 15,Keyboard (Brand-HP),Y,2023,34571,High,4,13956,5,3457
LAB15-PC25,LAB 15,Monitor (Brand-HP),Y,2023,31302,High,0,0,7,3130
LAB14-PC23,LAB 14,Keyboard (Brand-HP),N,2022,29290,Low,6,11124,5,2929
LAB16-PC24,LAB 16,Monitor (Brand-HP),Y,2019,34122,Medium,3,7788,7,3412
LAB16-PC25,LAB 16,Keyboard (Brand-HP),N,2018,28187,High,3,11709,5,2818
LAB12-PC24,LAB 12,Monitor (Brand-HP),Y,2021,34744,Medium,2,7192,7,3474
LAB16-PC26,LAB 16,Keyboard (Brand-HP),N,2018,29992,High,3,5847,5,2999
LAB12-PC25,LAB 12,Keyboard (Brand-HP),N,2018,31587,High,4,9152,5,3158
LAB15-PC26,LAB 15,Keyboard (Brand-HP),N,2018,30225,High,2,7394,5,3022
LAB16-PC27,LAB 16,Monitor (Brand-HP),Y,2023,27811,High,3,8511,7,2781
LAB12-PC26,LAB 12,Monitor (Brand-HP),N,2022,28288,High,7,14987,7,2828
LAB13-PC21,LAB 13,Monitor (Brand-HP),N,2018,28854,Low,1,1453,7,2885
LAB13-PC22,LAB 13,Monitor (Brand-HP),Y,2020,33026,Medium,1,1087,7,3302
LAB12-PC27,LAB 12,Monitor (Brand-HP),Y,2019,28292,Medium,1,2593,7,2829
LAB15-PC27,LAB 15,Monitor (Brand-HP),N,2018,29780,Low,4,14460,7,2978
LAB16-PC28,LAB 16,Monitor (Brand-HP),N,2021,30931,Medium,6,13668,7,3093
LAB15-PC28,LAB 15,Keyboard (Brand-HP),Y,2022,29726,Medium,3,8769,5,2972
LAB10-PC33,LAB 10,Keyboard (Brand-HP),N,2018,32532,High,3,3837,5,3253
LAB13-PC23,LAB 13,Monitor (Brand-HP),N,2018,32659,Low,5,14120,7,3265
LAB15-PC29,LAB 15,Keyboard (Brand-HP),N,2020,30262,Medium,4,8536,5,3026
LAB13-PC24,LAB 13,Monitor (Brand-HP),Y,2023,32673,Medium,5,17695,7,3267
LAB15-PC30,LAB 15,Keyboard (Brand-HP),Y,2022,27935,High,2,6928,5,2793
LAB10-PC34,LAB 10,Keyboard (Brand-HP),Y,2022,28896,Medium,3,11340,5,2889
LAB16-PC29,LAB 16,Monitor (Brand-HP),N,2023,27864,Medium,6,22500,7,2786
LAB15-PC31,LAB 15,Monitor (Brand-HP),N,2018,27868,Low,5,9435,7,2786
LAB13-PC25,LAB 13,Monitor (Brand-HP),Y,2021,33605,Medium,4,12264,7,3360
LAB16-PC30,LAB 16,Keyboard (Brand-HP),N,2023,27071,High,7,23849,5,2707
LAB10-PC35,LAB 10,Keyboard (Brand-HP),N,2019,29790,Medium,4,10780,5,2979
LAB15-PC32,LAB 15,Monitor (Brand-HP),Y,2022,33831,Medium,0,0,7,3383
LAB15-PC33,LAB 15,Monitor (Brand-HP),Y,2023,32525,High,0,0,7,3252
LAB13-PC26,LAB 13,Monitor (Brand-HP),Y,2021,34953,Medium,0,0,7,3495
LAB14-PC24,LAB 14,Monitor (Brand-HP),N,2022,29839,High,6,7020,7,2983
LAB13-PC27,LAB 13,Monitor (Brand-HP),Y,2021,34572,High,1,2124,7,3457
LAB13-PC28,LAB 13,Keyboard (Brand-HP),N,2019,30593,Medium,2,3736,5,3059
LAB14-PC25,LAB 14,Monitor (Brand-HP),Y,2021,28289,Medium,5,10665,7,2828
LAB13-PC29,LAB 13,Keyboard (Brand-HP),Y,2023,34761,High,4,11952,5,3476
LAB13-PC30,LAB 13,Keyboard (Brand-HP),Y,2022,32753,High,1,2345,5,3275
LAB12-PC28,LAB 12,Keyboard (Brand-HP),N,2018,34074,High,4,12384,5,3407
LAB15-PC34,LAB 15,Keyboard (Brand-HP),N,2020,34454,Medium,3,10293,5,3445
LAB12-PC29,LAB 12,Monitor (Brand-HP),Y,2022,33330,Medium,1,3334,7,3333
LAB15-PC35,LAB 15,Keyboard (Brand-HP),N,2019,33807,High,2,7368,5,3380
LAB13-PC31,LAB 13,Keyboard (Brand-HP),N,2019,32108,High,4,8244,5,3210
LAB16-PC31,LAB 16,Monitor (Brand-HP),Y,2019,30990,Medium,3,3564,7,3099
LAB12-PC30,LAB 12,Keyboard (Brand-HP),N,2020,31432,Medium,3,5793,5,3143
LAB16-PC32,LAB 16,Keyboard (Brand-HP),N,2023,28427,High,6,15552,5,2842
LAB12-PC31,LAB 12,Keyboard (Brand-HP),Y,2021,30641,Low,2,7708,5,3064
LAB13-PC32,LAB 13,Monitor (Brand-HP),N,2018,28293,Low,4,14988,7,2829
LAB12-PC32,LAB 12,Monitor (Brand-HP),Y,2021,30206,Medium,4,12320,7,3020
LAB14-PC26,LAB 14,Monitor (Brand-HP),N,2021,27786,Medium,6,7380,7,2778
LAB13-PC33,LAB 13,Keyboard (Brand-HP),Y,2021,29193,Low,1,3728,5,2919
LAB15-PC36,LAB 15,Monitor (Brand-HP),N,2018,31266,High,4,8260,7,3126
LAB14-PC27,LAB 14,Monitor (Brand-HP),N,2018,28814,High,3,5814,7,2881
LAB12-PC33,LAB 12,Monitor (Brand-HP),Y,2021,33261,Medium,1,3188,7,3326
LAB12-PC34,LAB 12,Keyboard (Brand-HP),Y,2022,31448,Medium,2,4942,5,3144
LAB12-PC35,LAB 12,Keyboard (Brand-HP),N,2019,33003,High,4,14888,5,3300
LAB10-PC36,LAB 10,Keyboard (Brand-HP),N,2019,33033,High,4,12092,5,3303
LAB16-PC33,LAB 16,Monitor (Brand-HP),N,2018,29488,Low,4,11508,7,2948
LAB16-PC34,LAB 16,Monitor (Brand-HP),Y,2021,28758,High,1,2178,7,2875
LAB16-PC35,LAB 16,Monitor (Brand-HP),Y,2019,28963,Medium,2,5294,7,2896
LAB15-PC37,LAB 15,Keyboard (Brand-HP),Y,2023,32004,High,2,4358,5,3200
LAB15-PC38,LAB 15,Monitor (Brand-HP),Y,2020,30248,Medium,1,1509,7,3024
LAB12-PC36,LAB 12,Keyboard (Brand-HP),N,2023,33156,High,7,17213,5,3315
LAB13-PC34,LAB 13,Monitor (Brand-HP),N,2018,32356,High,2,6372,7,3235
LAB15-PC39,LAB 15,Monitor (Brand-HP),Y,2021,28426,Medium,4,13424,7,2842
LAB12-PC37,LAB 12,Monitor (Brand-HP),N,2018,32678,High,2,7824,7,3267
LAB15-PC40,LAB 15,Monitor (Brand-HP),Y,2021,29805,Medium,2,5898,7,2980
LAB15-PC41,LAB 15,Monitor (Brand-HP),Y,2019,30306,Medium,1,2636,7,3030
LAB10-PC37,LAB 10,Monitor (Brand-HP),Y,2022,28540,Medium,3,7713,7,2854
LAB15-PC42,LAB 15,Monitor (Brand-HP),Y,2021,29338,Medium,4,14744,7,2933
LAB10-PC38,LAB 10,Monitor (Brand-HP),Y,2023,32872,High,3,10461,7,3287
LAB15-PC43,LAB 15,Keyboard (Brand-HP),N,2020,33988,Medium,3,8751,5,3398
LAB13-PC35,LAB 13,Monitor (Brand-HP),Y,2022,31101,Medium,1,1602,7,3110
LAB15-PC44,LAB 15,Monitor (Brand-HP),N,2018,34335,Low,4,10896,7,3433
LAB14-PC28,LAB 14,Keyboard (Brand-HP),N,2018,31620,High,2,2730,5,3162
LAB14-PC29,LAB 14,Monitor (Brand-HP),Y,2023,27731,High,1,3007,7,2773
LAB12-PC38,LAB 12,Monitor (Brand-HP),N,2018,33087,High,5,13920,7,3308
LAB13-PC36,LAB 13,Keyboard (Brand-HP),Y,2022,31524,Medium,2,6428,5,3152
LAB13-PC37,LAB 13,Monitor (Brand-HP),Y,2021,32434,High,2,4240,7,3243
LAB15-PC45,LAB 15,Keyboard (Brand-HP),Y,2022,31058,High,5,9575,5,3105
LAB15-PC46,LAB 15,Monitor (Brand-HP),N,2023,28163,Medium,6,15948,7,2816
LAB14-PC30,LAB 14,Keyboard (Brand-HP),Y,2021,30847,Low,1,2438,5,3084
LAB14-PC31,LAB 14,Monitor (Brand-HP),Y,2023,33256,High,2,4950,7,3325
LAB15-PC47,LAB 15,Monitor (Brand-HP),Y,2021,28580,Medium,3,8211,7,2858
LAB10-PC39,LAB 10,Keyboard (Brand-HP),N,2022,29463,Low,6,20772,5,2946
LAB13-PC38,LAB 13,Keyboard (Brand-HP),N,2018,28281,High,6,15450,5,2828
LAB10-PC40,LAB 10,Monitor (Brand-HP),Y,2021,31006,High,2,6216,7,3100
LAB10-PC41,LAB 10,Keyboard (Brand-HP),N,2023,28170,High,6,7902,5,2817
LAB12-PC39,LAB 12,Keyboard (Brand-HP),Y,2023,31597,Medium,3,4620,5,3159
LAB15-PC48,LAB 15,Keyboard (Brand-HP),N,2020,34829,Medium,3,8922,5,3482
LAB13-PC39,LAB 13,Monitor (Brand-HP),N,2018,33397,Low,5,8660,7,3339
LAB12-PC40,LAB 12,Monitor (Brand-HP),N,2018,29166,High,4,6656,7,2916
LAB12-PC41,LAB 12,Keyboard (Brand-HP),N,2023,30450,High,7,20251,5,3045
LAB15-PC49,LAB 15,Monitor (Brand-HP),Y,2023,32265,High,2,6352,7,3226
LAB13-PC40,LAB 13,Monitor (Brand-HP),Y,2023,28470,Medium,4,13736,7,2847
LAB10-PC42,LAB 10,Monitor (Brand-HP),N,2018,34046,Medium,6,8400,7,3404
LAB12-PC42,LAB 12,Keyboard (Brand-HP),N,2022,33023,Low,6,16506,5,3302
LAB10-PC43,LAB 10,Monitor (Brand-HP),Y,2023,32097,Medium,3,10146,7,3209
LAB15-PC50,LAB 15,Monitor (Brand-HP),N,2018,30301,Medium,6,12666,7,3030
LAB15-PC51,LAB 15,Keyboard (Brand-HP),N,2018,30609,High,4,11332,5,3060
LAB16-PC36,LAB 16,Keyboard (Brand-HP),Y,2022,33236,High,3,10092,5,3323
LAB14-PC32,LAB 14,Monitor (Brand-HP),Y,2023,34416,High,1,2751,7,3441
LAB12-PC43,LAB 12,Monitor (Brand-HP),N,2022,28811,High,7,16254,7,2881
LAB16-PC37,LAB 16,Keyboard (Brand-HP),Y,2022,28946,Low,5,17575,5,2894
LAB14-PC33,LAB 14,Keyboard (Brand-HP),Y,2022,33341,High,3,10398,5,3334
LAB15-PC52,LAB 15,Keyboard (Brand-HP),N,2023,27009,High,6,9462,5,2700
LAB16-PC38,LAB 16,Monitor (Brand-HP),Y,2022,29087,Medium,1,2391,7,2908
LAB14-PC34,LAB 14,Monitor (Brand-HP),Y,2019,27623,Medium,1,3662,7,2762
LAB14-PC35,LAB 14,Keyboard (Brand-HP),N,2022,30648,Low,8,29080,5,3064
LAB13-PC41,LAB 13,Monitor (Brand-HP),Y,2020,30704,Medium,1,3785,7,3070
LAB16-PC39,LAB 16,Monitor (Brand-HP),N,2018,33438,Low,3,6579,7,3343
LAB13-PC42,LAB 13,Keyboard (Brand-HP),N,2023,33441,High,7,16877,5,3344
LAB13-PC43,LAB 13,Keyboard (Brand-HP),N,2022,33724,Low,6,6660,5,3372
LAB15-PC53,LAB 15,Monitor (Brand-HP),Y,2019,30819,Medium,0,0,7,3081
LAB15-PC54,LAB 15,Monitor (Brand-HP),Y,2021,34773,High,1,2178,7,3477
LAB10-PC44,LAB 10,Keyboard (Brand-HP),N,2019,34588,High,3,6174,5,3458
LAB13-PC44,LAB 13,Monitor (Brand-HP),N,2018,31971,Low,5,18530,7,3197
LAB15-PC55,LAB 15,Monitor (Brand-HP),Y,2020,30601,Medium,0,0,7,3060
LAB15-PC56,LAB 15,Monitor (Brand-HP),Y,2020,28747,Medium,1,3835,7,2874
LAB15-PC57,LAB 15,Monitor (Brand-HP),Y,2021,33098,Medium,3,10620,7,3309
LAB12-PC44,LAB 12,Monitor (Brand-HP),Y,2023,30271,High,1,2399,7,3027
LAB16-PC40,LAB 16,Keyboard (Brand-HP),Y,2023,34674,High,4,14264,5,3467
LAB16-PC41,LAB 16,Keyboard (Brand-HP),N,2019,27194,Medium,3,3243,5,2719
LAB12-PC45,LAB 12,Keyboard (Brand-HP),Y,2021,28495,Low,0,0,5,2849
LAB12-PC46,LAB 12,Keyboard (Brand-HP),N,2020,31722,Medium,5,14325,5,3172
LAB13-PC45,LAB 13,Monitor (Brand-HP),N,2018,33381,High,3,8952,7,3338
LAB16-PC42,LAB 16,Monitor (Brand-HP),N,2018,34710,Medium,8,17648,7,3471
LAB14-PC36,LAB 14,Keyboard (Brand-HP),Y,2023,30320,Medium,1,3701,5,3032
LAB12-PC47,LAB 12,Monitor (Brand-HP),Y,2023,29397,High,1,3136,7,2939
LAB13-PC46,LAB 13,Monitor (Brand-HP),Y,2020,28652,Medium,0,0,7,2865
LAB15-PC58,LAB 15,Monitor (Brand-HP),N,2018,31285,High,3,4368,7,3128
LAB15-PC59,LAB 15,Monitor (Brand-HP),Y,2021,30495,High,2,6738,7,3049
LAB16-PC43,LAB 16,Keyboard (Brand-HP),Y,2023,33332,Medium,1,1452,5,3333
LAB13-PC47,LAB 13,Keyboard (Brand-HP),Y,2023,30033,High,4,12808,5,3003
LAB13-PC48,LAB 13,Keyboard (Brand-HP),N,2023,31760,High,6,22500,5,3176
LAB15-PC60,LAB 15,Monitor (Brand-HP),Y,2023,27817,High,2,7300,7,2781
LAB13-PC49,LAB 13,Keyboard (Brand-HP),N,2023,27011,High,7,26257,5,2701
LAB16-PC44,LAB 16,Monitor (Brand-HP),Y,2022,29738,High,5,16055,7,2973
LAB14-PC37,LAB 14,Monitor (Brand-HP),N,2018,27102,High,5,7070,7,2710
LAB13-PC50,LAB 13,Monitor (Brand-HP),Y,2023,31201,Medium,5,17385,7,3120
